,bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,uuid,created_date,scanned_date,finish_date,modify_date,pointsawarded_date,purchased_date,barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,needsFetchReviewReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned_y,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId
10,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100.0,1.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c50a720f052300056c,2021-01-03 15:24:53.000000000,2021-01-03 15:24:53.000000000,2021-01-03 15:24:53.000000000,2021-01-03 15:24:53.000000000,2021-01-03 15:24:53.000000000,2021-01-02 15:24:53.000000000,4011,ITEM NOT FOUND,20.00,20.00,False,1,True,5.0,4011,True,20.00,5.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,5.0,FINISHED,50.00,5ff1e194b6a9d73a3a9f1052,5ff1e1a10a720f0523000568,2021-01-03 15:24:17.000000000,2021-01-03 15:24:17.000000000,2021-01-03 15:39:20.000000000,2021-01-03 15:39:20.000000000,2021-01-03 15:24:19.000000000,2021-01-02 00:00:00.000000000,4011,ITEM NOT FOUND,20.00,20.00,False,1,True,3.0,4011,True,20.00,3.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 15:24:38.000000000,2021-01-03 15:24:38.000000000,NULL,2021-01-03 15:24:38.000000000,NULL,2021-02-03 15:24:38.000000000,4011,ITEM NOT FOUND,1,1,NULL,1,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.00,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 20:17:59.000000000,2020-10-30 20:17:59.000000000,NULL,2021-01-03 15:24:54.000000000,2020-10-30 20:18:00.000000000,2020-10-29 20:17:59.000000000,013562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,50.00,True,1,NULL,5.0,NULL,NULL,NULL,NULL,POINTS_GREATER_THAN_THRESHOLD,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae,NULL,NULL,NULL,NULL,NULL,50.00,NULL,013562300631,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300.0,1.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1b20a7214ada100055a,2021-01-03 15:24:34.000000000,2021-01-03 15:24:34.000000000,2021-01-03 15:24:35.000000000,2021-01-03 15:24:35.000000000,2021-01-03 15:24:35.000000000,2021-02-03 15:24:35.000000000,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,1,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
15,NULL,NULL,NULL,0.0,FLAGGED,0.00,5ff1e1e9b6a9d73a3a9f10f6,5ff1e1e90a7214ada1000569,2021-01-03 15:25:29.000000000,2021-01-03 15:25:29.000000000,NULL,2021-01-03 15:25:29.000000000,NULL,NULL,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,2,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
16,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,2.0,FINISHED,11.00,5ff1e1dfcfcf6c399c274ab3,5ff1e1df0a7214ada1000564,2021-01-03 15:25:19.000000000,2021-01-03 15:25:19.000000000,2021-01-03 15:25:20.000000000,2021-01-03 15:25:25.000000000,2021-01-03 15:25:19.000000000,2021-01-02 15:25:19.000000000,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,3,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.00,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 15:24:36.000000000,2021-01-03 15:24:36.000000000,NULL,2021-01-03 15:24:37.000000000,2021-01-03 15:24:36.000000000,2021-01-02 15:24:36.000000000,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,4,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
18,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300.0,2.0,FINISHED,26.00,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000576,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:32.000000000,2021-01-03 15:25:36.000000000,2021-01-03 15:25:32.000000000,2021-01-03 00:00:00.000000000,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,5,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
19,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c80a720f052300056d,2021-01-03 15:24:56.000000000,2021-01-03 15:24:56.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:24:56.000000000,2021-01-02 15:24:56.000000000,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,6,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
20,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6.0,FINISHED,14.00,5f9c74e3f1937815bd2c1d73,5f9c74f90a7214ad07000038,2020-10-30 20:18:01.000000000,2020-10-30 20:18:01.000000000,2021-01-03 15:39:55.000000000,2021-01-03 15:39:55.000000000,2021-01-03 15:39:55.000000000,2020-10-29 20:18:01.000000000,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,7,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
21,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FINISHED,1.00,5ff1e196cfcf6c399c274a38,5ff1e1960a720f0523000567,2021-01-03 15:24:06.000000000,2021-01-03 15:24:06.000000000,2021-01-03 15:24:10.000000000,2021-01-03 15:24:10.000000000,2021-01-03 15:24:10.000000000,2021-01-02 15:24:06.000000000,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,8,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
22,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,2.0,FINISHED,21.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ec0a7214ada100056c,2021-01-03 15:25:32.000000000,2021-01-03 15:25:32.000000000,2021-01-03 15:25:32.000000000,2021-01-03 15:25:37.000000000,2021-01-03 15:25:32.000000000,2021-01-03 00:00:00.000000000,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,9,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
23,40.0,COMPLETE_PARTNER_RECEIPT,185.0,2.0,FINISHED,2.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d70a720f0523000571,2021-01-03 15:25:11.000000000,2021-01-03 15:25:11.000000000,2021-01-03 15:25:12.000000000,2021-01-03 15:25:12.000000000,2021-01-03 15:25:12.000000000,2021-01-02 15:25:11.000000000,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,NULL,10,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,870.0,77,NULL,NULL,NULL,NULL,NULL,NULL
24,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1c60a7214ada100055e,2021-01-03 15:24:54.000000000,2021-01-03 15:24:54.000000000,2021-01-03 15:24:59.000000000,2021-01-03 15:24:59.000000000,2021-01-03 15:24:54.000000000,2021-01-02 15:24:54.000000000,075925306254,NULL,1,1,NULL,1,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,NULL,NULL
25,5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,27.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada1000570,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:35.000000000,2021-01-03 15:25:40.000000000,2021-01-03 15:25:35.000000000,2021-01-03 00:00:00.000000000,NULL,NULL,NULL,NULL,True,2,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1cf0a720f0523000570,2021-01-03 15:25:03.000000000,2021-01-03 15:25:03.000000000,2021-01-03 15:25:09.000000000,2021-01-03 15:25:09.000000000,2021-01-03 15:25:03.000000000,2021-01-02 15:25:03.000000000,NULL,NULL,NULL,NULL,True,3,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,25.0,COMPLETE_NONPARTNER_RECEIPT,35.0,1.0,FINISHED,1.00,5ff1e194b6a9d73a3a9f1052,5ff1e1e10a720f0523000572,2021-01-03 15:25:21.000000000,2021-01-03 15:25:21.000000000,2021-01-03 15:25:21.000000000,2021-01-03 15:25:26.000000000,2021-01-03 15:25:21.000000000,2021-01-02 15:25:21.000000000,NULL,NULL,NULL,NULL,True,4,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,NULL,NULL,NULL,3.0,REJECTED,3.00,5ff1e194b6a9d73a3a9f1052,5ff1e1d40a7214ada1000562,2021-01-03 15:25:08.000000000,2021-01-03 15:25:08.000000000,NULL,2021-01-03 15:25:08.000000000,NULL,2017-10-30 00:00:00.000000000,NULL,NULL,NULL,NULL,True,5,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,27.00,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a720f0523000578,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:39.000000000,2021-01-03 15:25:34.000000000,2021-01-03 00:00:00.000000000,NULL,NULL,NULL,NULL,True,6,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.00,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,2021-01-04 19:48:19.000000000,2021-01-04 19:48:19.000000000,2021-01-04 19:48:20.000000000,2021-01-04 19:48:20.000000000,2021-01-04 19:48:20.000000000,2020-12-20 00:00:00.000000000,NULL,NULL,NULL,NULL,True,7,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,5.0,All-receipts receipt bonus,55.0,1.0,FINISHED,0.99,5ff36d0362fde912123a5535,5ff36dcc0a720f05230005b1,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000,NULL,NULL,NULL,NULL,True,8,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,NULL,NULL,500.0,9.0,FINISHED,89.91,5ff36be7135e7011bcb856d3,5ff36c750a7214ada100058f,2021-01-04 19:28:53.000000000,2021-01-04 19:28:53.000000000,2021-01-04 19:28:54.000000000,2021-01-04 19:28:54.000000000,2021-01-04 19:28:54.000000000,2021-01-03 19:28:53.000000000,NULL,NULL,NULL,NULL,True,9,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,45.0,COMPLETE_PARTNER_RECEIPT,50.0,1.0,FINISHED,1.00,54943462e4b07e684157a532,5ff36d860a720f05230005a7,2021-01-04 19:33:26.000000000,2021-01-04 19:33:26.000000000,2021-01-04 19:33:26.000000000,2021-01-04 19:33:26.000000000,2021-01-04 19:33:26.000000000,2021-01-03 19:33:26.000000000,NULL,NULL,NULL,NULL,True,10,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,45.0,COMPLETE_PARTNER_RECEIPT,50.0,1.0,FINISHED,1.00,5ff36d0362fde912123a5535,5ff36d9f0a720f05230005ab,2021-01-04 19:33:51.000000000,2021-01-04 19:33:51.000000000,2021-01-04 19:33:51.000000000,2021-01-04 19:33:51.000000000,2021-01-04 19:33:51.000000000,2020-12-19 19:33:51.000000000,NULL,NULL,NULL,NULL,True,11,True,NULL,034100573065,True,29.00,1.0,USER_FLAGGED,NULL,NULL,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,NULL,NULL,250.0,5.0,FINISHED,49.95,5ff36a3862fde912123a4460,5ff36adb0a720f0523000590,2021-01-04 19:22:03.000000000,2021-01-04 19:22:03.000000000,2021-01-04 19:22:04.000000000,2021-01-04 19:22:04.000000000,2021-01-04 19:22:04.000000000,2020-12-30 06:00:00.000000000,4011,ITEM NOT FOUND,1,1,NULL,1,NULL,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,1.00,5ff36d0362fde912123a5535,5ff36da00a7214ada100059b,2021-01-04 19:33:52.000000000,2021-01-04 19:33:52.000000000,2021-01-04 19:33:52.000000000,2021-01-04 19:33:52.000000000,2021-01-04 19:33:52.000000000,2021-01-03 19:33:52.000000000,NULL,NULL,NULL,NULL,True,1,True,NULL,4011,True,25.00,3.0,USER_FLAGGED,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
